timestamp_ms,source,can_id,speed_kmh,rpm,throttle_pct,engine_load_pct,maf_g_s,coolant_temp_c,session_label,obd_latency_ms
0,DIAG,0x000,,,,,,,,Esportivo,BOOT fw=0.2.0 heap_alloc=58KB flash=400KB tasks=9 backlog_cap=16KB
1787597160002,CAN_DBC,0x200,,,58.8,49.8,,,Esportivo,
1787597160002,CAN_DBC,0x100,119.0,3984,,,,,Esportivo,
1787597160002,CAN_DBC,0x200,,,58.8,49.8,,,Esportivo,
1787597160002,CAN_DBC,0x200,,,60.0,51.0,,,Esportivo,
1787597160002,CAN_DBC,0x100,120.0,4000,,,,,Esportivo,
1787597160002,CAN_DBC,0x300,,,,,,87.0,Esportivo,
1787597160002,CAN_DBC,0x200,,,58.8,49.8,,,Esportivo,
1787597160029,CAN_DBC,0x200,,,98.8,83.9,,,Esportivo,
1787597160030,CAN_DBC,0x100,159.0,6476,,,,,Esportivo,
1787597160054,OBD_PID,0x701,159.0,,,,,,Esportivo,1.777
1787597160079,CAN_DBC,0x200,,,98.8,83.9,,,Esportivo,
1787597160129,CAN_DBC,0x200,,,97.6,82.7,,,Esportivo,
1787597160131,CAN_DBC,0x100,156.0,6382,,,,,Esportivo,
1787597160155,OBD_PID,0x702,,6382,,,,,Esportivo,1.560
1787597160179,CAN_DBC,0x200,,,96.9,82.0,,,Esportivo,
1787597160229,CAN_DBC,0x200,,,94.9,80.0,,,Esportivo,
1787597160231,CAN_DBC,0x100,153.0,6252,,,,,Esportivo,
1787597160255,OBD_PID,0x703,,,94.9,,,,Esportivo,1.029
1787597160279,CAN_DBC,0x200,,,93.7,78.8,,,Esportivo,
1787597160329,CAN_DBC,0x200,,,91.8,77.6,,,Esportivo,
1787597160330,CAN_DBC,0x100,148.0,6064,,,,,Esportivo,
1787597160356,OBD_PID,0x704,,,,78.0,,,Esportivo,1.899
1787597160379,CAN_DBC,0x200,,,89.8,75.7,,,Esportivo,
1787597160429,CAN_DBC,0x200,,,87.8,73.7,,,Esportivo,
1787597160431,CAN_DBC,0x100,142.0,5829,,,,,Esportivo,
1787597160457,OBD_PID,0x705,,,,,54.10,,Esportivo,1.522
1787597160479,CAN_DBC,0x200,,,85.9,72.9,,,Esportivo,
1787597160529,CAN_DBC,0x200,,,83.9,71.0,,,Esportivo,
1787597160530,CAN_DBC,0x100,135.0,5570,,,,,Esportivo,
1787597160557,OBD_PID,0x706,,,,,,87.0,Esportivo,0.997
1787597160590,CAN_DBC,0x200,,,82.0,68.6,,,Esportivo,
1787597160630,CAN_DBC,0x200,,,78.8,66.7,,,Esportivo,
1787597160631,CAN_DBC,0x100,127.0,5288,,,,,Esportivo,
1787597160670,OBD_PID,0x701,128.0,,,,,,Esportivo,1.813
1787597160679,CAN_DBC,0x200,,,76.9,64.7,,,Esportivo,
1787597160729,CAN_DBC,0x200,,,74.9,62.7,,,Esportivo,
1787597160730,CAN_DBC,0x100,120.0,5005,,,,,Esportivo,
1787597160770,OBD_PID,0x702,,5005,,,,,Esportivo,1.148
1787597160779,CAN_DBC,0x200,,,71.8,60.8,,,Esportivo,
1787597160829,CAN_DBC,0x200,,,69.8,58.8,,,Esportivo,
1787597160830,CAN_DBC,0x100,112.0,4711,,,,,Esportivo,
1787597160872,OBD_PID,0x703,,,70.2,,,,Esportivo,2.917
1787597160879,CAN_DBC,0x200,,,66.7,55.7,,,Esportivo,
1787597160929,CAN_DBC,0x200,,,64.7,54.9,,,Esportivo,
1787597160931,CAN_DBC,0x100,104.0,4429,,,,,Esportivo,
1787597160931,CAN_DBC,0x300,,,,,,87.0,Esportivo,
1787597160972,OBD_PID,0x704,,,,54.9,,,Esportivo,1.903
1787597160979,CAN_DBC,0x200,,,62.7,52.9,,,Esportivo,
1787597161029,CAN_DBC,0x200,,,60.8,51.0,,,Esportivo,
1787597161029,CAN_DBC,0x100,97.0,4170,,,,,Esportivo,
1787597161072,OBD_PID,0x705,,,,,26.89,,Esportivo,1.264
1787597161080,CAN_DBC,0x200,,,58.8,49.8,,,Esportivo,
1787597161129,CAN_DBC,0x200,,,56.9,47.8,,,Esportivo,
1787597161131,CAN_DBC,0x100,91.0,3935,,,,,Esportivo,
1787597161173,OBD_PID,0x706,,,,,,87.0,Esportivo,1.715
1787597161179,CAN_DBC,0x200,,,54.9,45.9,,,Esportivo,
1787597161229,CAN_DBC,0x200,,,53.7,44.7,,,Esportivo,
1787597161232,CAN_DBC,0x100,86.0,3747,,,,,Esportivo,
1787597161273,OBD_PID,0x701,87.0,,,,,,Esportivo,1.155
1787597161279,CAN_DBC,0x200,,,51.8,43.9,,,Esportivo,
1787597161329,CAN_DBC,0x200,,,51.0,42.7,,,Esportivo,
1787597161331,CAN_DBC,0x100,83.0,3617,,,,,Esportivo,
1787597161374,OBD_PID,0x702,,3617,,,,,Esportivo,1.631
1787597161380,CAN_DBC,0x200,,,49.8,42.0,,,Esportivo,
1787597161429,CAN_DBC,0x200,,,49.8,42.0,,,Esportivo,
1787597161432,CAN_DBC,0x100,80.0,3523,,,,,Esportivo,
1787597161474,OBD_PID,0x703,,,50.2,,,,Esportivo,1.109
1787597161479,CAN_DBC,0x200,,,49.8,42.0,,,Esportivo,
1787597161529,CAN_DBC,0x200,,,49.8,42.0,,,Esportivo,
1787597161530,CAN_DBC,0x100,80.0,3500,,,,,Esportivo,
1787597161575,OBD_PID,0x704,,,,42.0,,,Esportivo,1.451
1787597161579,CAN_DBC,0x200,,,49.8,42.0,,,Esportivo,
1787597161629,CAN_DBC,0x200,,,49.8,42.0,,,Esportivo,
1787597161631,CAN_DBC,0x100,80.0,3523,,,,,Esportivo,
1787597161676,OBD_PID,0x705,,,,,18.80,,Esportivo,2.445
1787597161679,CAN_DBC,0x200,,,49.8,42.0,,,Esportivo,
